datasetid;name;url
785;This record is not available;https://www.vliz.be/en/imis?module=dataset&dasid=785
2453;SHARK - Marine phytoplankton monitoring in Sweden since 1983;https://www.vliz.be/en/imis?module=dataset&dasid=2453
787;This record is not available;https://www.vliz.be/en/imis?module=dataset&dasid=787
2722;PANGAEA - Data from various sources;https://www.vliz.be/en/imis?module=dataset&dasid=2722
2463;Polish Monitoring Programme - Monitoring of the Baltic Sea: phytoplankton;https://www.vliz.be/en/imis?module=dataset&dasid=2463
4424;ICES Phytoplankton Community dataset;https://www.vliz.be/en/imis?module=dataset&dasid=4424
5724;Finnish Baltic Sea phytoplankton monitoring, KPLANK database;https://www.vliz.be/en/imis?module=dataset&dasid=5724
216;The CPR Survey;https://www.vliz.be/en/imis?module=dataset&dasid=216
5664;Phytoplankton data for Danish marine monitoring (ODAM) from 1988 - 2016;https://www.vliz.be/en/imis?module=dataset&dasid=5664
2455;SHARK - National Epibenthos monitoring in Sweden since 1992;https://www.vliz.be/en/imis?module=dataset&dasid=2455
5727;SHARK - Regional monitoring and monitoring projects of Epibenthos in Sweden since 1994;https://www.vliz.be/en/imis?module=dataset&dasid=5727
1985;NODC World Ocean Database 2001: Plankton Data;https://www.vliz.be/en/imis?module=dataset&dasid=1985
5840;IFCB110-SMHI: Imaging flow cytometry from SMHI in Tangesund 2016;https://www.vliz.be/en/imis?module=dataset&dasid=5840
2501;Baltic Sea benthic meiofauna and macrofauna mid 1990s;https://www.vliz.be/en/imis?module=dataset&dasid=2501
6021;Phytoplankton composition, biomass and abundance in Estonian territorial waters 1993-2016;https://www.vliz.be/en/imis?module=dataset&dasid=6021
2498;National ferrybox project - discrete sampling by IMWM;https://www.vliz.be/en/imis?module=dataset&dasid=2498
